label,ARI,NMI,Silhouette(PCA)
baseline,0.7554388910195243,0.8908873795237845,0.27485844
MAGIC_small,0.4645593240766593,0.733469918815257,0.30947897
PCA_small,0.7229310201439417,0.8742474376065367,0.2697293
